video_id,channel_id,channel_name,lean,published_at,year,month,view_count,like_count,comment_count
UUqEOFI_XLI,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-25T01:00:42Z,2025,11,40283,1548,63
q5e6a8A1oVA,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-24T23:12:23Z,2025,11,64353,1551,240
weDvJ0pJTiw,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-24T16:01:35Z,2025,11,46263,2131,359
yEQtg4kpNX4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-23T15:01:48Z,2025,11,121383,2281,196
KaFmnGC-kno,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-22T18:53:54Z,2025,11,62932,1051,55
pZ9sG7ssuSI,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-22T15:01:40Z,2025,11,191185,6428,1271
9IbSjsCkdTc,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-21T23:37:05Z,2025,11,87616,3437,183
LBEesAyla3A,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-21T22:47:15Z,2025,11,82263,2389,1243
PGtFTXj6kZc,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-21T18:39:34Z,2025,11,649335,3894,1355
sLRJ03qcGMo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-21T17:47:47Z,2025,11,85619,1936,65
-Rn5tdChf3g,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-20T22:45:42Z,2025,11,74556,2914,124
jSa_ob7fmms,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-20T22:05:50Z,2025,11,44742,1341,709
l4DBwXu2zEo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2025-11-20T18:30:58Z,2025,11,38806,1132,100
