id_2020,id_2016,lib_con_scale,democrat_thermometer,republican_thermometer,youtube_use,election_year
215246,,Conservative,5.0,95.0,Yes,2020
204994,,Slightly liberal,55.0,20.0,Yes,2020
209623,,Extremely conservative,60.0,85.0,Yes,2020
209012,,Slightly liberal,60.0,0.0,Yes,2020
431086,,Moderate,,,,2020
348153,,DK,,,,2020
443065,,Slightly liberal,50.0,100.0,No,2020
305804,,Moderate,100.0,70.0,Yes,2020
520856,,Moderate,70.0,15.0,Yes,2020
330572,,Moderate,,,,2020
232920,,Moderate,95.0,0.0,Yes,2020
206273,,DK,100.0,0.0,Yes,2020
216461,,Moderate,70.0,0.0,Yes,2020
419413,,Slightly conservative,40.0,70.0,Yes,2020
349194,,DK,60.0,60.0,No,2020
452649,,Liberal,85.0,0.0,Yes,2020
512923,,Slightly liberal,85.0,0.0,Yes,2020
437596,,Slightly conservative,85.0,60.0,Yes,2020
460251,,Moderate,15.0,40.0,Yes,2020
230047,,Extremely conservative,30.0,85.0,Yes,2020
343066,,DK,70.0,0.0,Yes,2020
344977,,Conservative,30.0,85.0,Yes,2020
228259,,Conservative,30.0,80.0,Yes,2020
307206,,Slightly liberal,85.0,0.0,Yes,2020
323284,,Slightly liberal,90.0,0.0,No,2020
400525,,DK,0.0,85.0,Yes,2020
210623,,Extremely Liberal,85.0,0.0,Yes,2020
317357,,Moderate,100.0,0.0,Yes,2020
439004,,Slightly conservative,0.0,85.0,Yes,2020
330602,,DK,85.0,0.0,No,2020
216911,,Conservative,58.0,54.0,No,2020
219576,,Conservative,15.0,100.0,No,2020
338736,,Extremely conservative,,,,2020
215352,,Extremely Liberal,40.0,0.0,Yes,2020
208545,,Moderate,80.0,15.0,Yes,2020
333489,,Slightly liberal,85.0,0.0,Yes,2020
432522,,DK,70.0,15.0,Yes,2020
201230,,Slightly liberal,85.0,0.0,Yes,2020
440745,,Conservative,10.0,90.0,Yes,2020
433853,,Slightly liberal,,,,2020
401962,,Liberal,100.0,0.0,No,2020
215482,,Liberal,100.0,0.0,Yes,2020
311618,,Conservative,0.0,70.0,No,2020
226079,,Slightly conservative,0.0,100.0,No,2020
453246,,Conservative,15.0,100.0,Yes,2020
360849,,Moderate,85.0,0.0,Yes,2020
535292,,Conservative,0.0,100.0,No,2020
511432,,Moderate,70.0,0.0,Yes,2020
229368,,Slightly liberal,70.0,30.0,Yes,2020
517928,,Moderate,,,,2020
522128,,Conservative,0.0,100.0,Yes,2020
531160,,Slightly liberal,40.0,0.0,Yes,2020
221746,,DK,50.0,50.0,Yes,2020
231088,,Conservative,15.0,85.0,Yes,2020
444891,,Conservative,,,,2020
234155,,Moderate,65.0,1.0,Yes,2020
228853,,Conservative,0.0,100.0,Yes,2020
224868,,DK,100.0,0.0,Yes,2020
203410,,Liberal,85.0,0.0,Yes,2020
211329,,Extremely Liberal,0.0,0.0,No,2020
211527,,Liberal,95.0,0.0,Yes,2020
415367,,Slightly liberal,70.0,0.0,Yes,2020
362999,,Slightly conservative,15.0,60.0,No,2020
229429,,DK,50.0,60.0,Yes,2020
352725,,Extremely Liberal,60.0,0.0,Yes,2020
215666,,Conservative,40.0,85.0,Yes,2020
234339,,Conservative,0.0,100.0,Yes,2020
426268,,Slightly liberal,60.0,30.0,Yes,2020
225687,,Conservative,0.0,60.0,Yes,2020
309004,,Extremely Liberal,70.0,15.0,Yes,2020
219101,,DK,100.0,30.0,Yes,2020
206037,,Conservative,15.0,85.0,No,2020
334673,,Moderate,90.0,0.0,No,2020
451028,,Extremely Liberal,60.0,0.0,Yes,2020
208194,,Slightly conservative,100.0,0.0,Yes,2020
523923,,Conservative,0.0,100.0,Yes,2020
526908,,DK,85.0,0.0,Yes,2020
229061,,Slightly liberal,100.0,0.0,Yes,2020
202516,,DK,100.0,0.0,Yes,2020
419215,,Extremely conservative,70.0,70.0,No,2020
510811,,Liberal,,,,2020
412443,,DK,85.0,0.0,Yes,2020
328845,,Extremely Liberal,100.0,0.0,Yes,2020
208927,,Slightly liberal,,,,2020
231972,,Moderate,0.0,100.0,Yes,2020
327750,,Extremely conservative,,,,2020
300755,,DK,15.0,100.0,No,2020
457347,,Extremely Liberal,70.0,0.0,Yes,2020
