video_id,channel_id,channel_name,lean,published_at,year,month,view_count,like_count,comment_count,title
Wk0wUutbMpU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-05-25T17:00:27Z,2024,5,5377920,305561,6385,Are You the Hero in the Moment?
oazq_Z7gxPA,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-05-16T19:00:21Z,2024,5,4749061,271642,3606,Hilarious Farming Kid
2v0YErss8_I,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-05-01T20:04:49Z,2024,5,2620508,157873,2835,Ricky Gervais Speaks Out
f4NvOFxlWtU,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-04-20T19:00:20Z,2024,4,13047052,427819,2035,Cool Steph Curry Moments
GOaoh8_J5q0,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-04-20T01:00:07Z,2024,4,4296144,284582,7090,Steve Harvey on Donald Trump
6FWnTratOJk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-04-17T23:30:00Z,2024,4,3968228,181300,2129,The Importance of Working Together
8TtIwcwOAgo,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-04-12T23:30:02Z,2024,4,6388073,245082,7741,Wildly Intelligent Kid
2i4R7QdKuxg,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-04-08T23:30:00Z,2024,4,11156035,670435,5311,Comedian on Equality
u6WOC8SZHqM,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-03-27T19:00:28Z,2024,3,3979113,273022,3765,How Much Money Does Jaden Have?
WEWfEi_TNEE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-03-19T19:00:16Z,2024,3,2868029,217229,4956,Mila Kunis on Why America Is Great
EXTAuehcDsg,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-03-15T23:30:01Z,2024,3,6105407,327788,4725,The Stupidity of the English Language
yo6lQXk5lds,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-03-13T01:00:23Z,2024,3,9081174,403891,2435,Tell Me Your Dad Is a Lawyer Without Telling Me
X_Qp41OQrVg,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-03-05T02:00:22Z,2024,3,30946063,1581251,25911,Judge Dismisses Veteran's Case
ct2f_xQgCN4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-02-28T02:00:13Z,2024,2,6781183,341434,6109,Piers Morgan on Barack Obama
TqcRcQCMQEg,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-02-22T02:00:21Z,2024,2,3925983,246870,11722,"""Bring Back the Patriarchy!"""
jMTghjUxY_c,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-02-19T20:00:27Z,2024,2,4880982,290213,5782,Morgan Freeman on Black History Month
ayiedkcu6Mk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-02-17T02:00:01Z,2024,2,7387638,289287,21399,Don't Hire Woke People
82GXL7vEyTY,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-02-11T20:00:02Z,2024,2,8262481,475796,9166,America vs Other Countries
Ou3Z62VkSa4,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-01-16T02:00:14Z,2024,1,6156652,332564,13150,Voting Rights for Women
lg0-9u8hQgM,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-01-07T20:00:17Z,2024,1,3660912,216739,4597,The Importance of Fatherhood
1Yxr6DuZuoE,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-01-07T18:00:02Z,2024,1,5147521,277555,5832,When a Rabbi's Son Becomes a Christian
h6XN04iZbv8,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-01-06T20:00:15Z,2024,1,3667621,238267,3421,Race in Comedy
Dq72Dg9inWk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2024-01-04T20:00:05Z,2024,1,3806988,168601,1487,Dave Chappelle on Meeting Jim Carrey | @MegynKelly
vAfL4H1i8xw,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-12-27T02:00:30Z,2023,12,15279121,847648,8780,Granny Said What We're All Thinking
fVEicxChnUc,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-12-25T20:00:22Z,2023,12,28052279,1507684,77213,Raven-Symoné: “I’m an American”
KJWo6F1MWdk,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-12-13T20:00:07Z,2023,12,6110002,269153,4926,SNL Predicts the Future
14aCYuxvcic,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,conservative,2023-12-09T02:00:00Z,2023,12,5631599,256853,5044,The Impractical Jokers on Michelle Obama
